Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,1.0,2.0,1.0,2.0,2.0,3369.0
2012-01-03,2.0,2.0,2.0,2.0,2.0,0.0
2012-01-04,2.0,2.0,2.0,2.0,2.0,0.0
2012-01-05,2.0,2.0,2.0,2.0,2.0,0.0
2012-01-08,2.0,2.0,2.0,2.0,2.0,0.0
2012-01-09,2.0,2.0,2.0,2.0,2.0,0.0
2012-01-10,1.0,2.0,1.0,2.0,2.0,310.0
2012-01-11,1.0,2.0,1.0,2.0,2.0,5875.0
2012-01-12,1.0,2.0,1.0,2.0,2.0,2123.0
2012-01-15,1.0,1.0,1.0,1.0,1.0,581.0
2012-01-16,1.0,1.0,1.0,1.0,1.0,0.0
2012-01-17,1.0,1.0,1.0,1.0,1.0,710.0
2012-01-18,1.0,1.0,1.0,1.0,1.0,2600.0
2012-01-19,1.0,2.0,1.0,2.0,2.0,400.0
2012-01-22,2.0,2.0,2.0,2.0,2.0,0.0
2012-01-23,1.0,2.0,1.0,2.0,2.0,4665.0
2012-01-24,2.0,2.0,2.0,2.0,2.0,0.0
2012-01-26,2.0,2.0,2.0,2.0,2.0,0.0
2012-01-29,,,,,,
2012-01-30,1.0,1.0,1.0,1.0,1.0,1750.0
2012-01-31,1.0,1.0,1.0,1.0,1.0,1160.0
2012-02-01,1.0,2.0,1.0,2.0,2.0,6700.0
2012-02-02,1.0,2.0,1.0,2.0,2.0,967.0
2012-02-05,1.0,1.0,1.0,1.0,1.0,2800.0
2012-02-06,1.0,1.0,1.0,1.0,1.0,0.0
2012-02-07,2.0,2.0,2.0,2.0,2.0,300.0
2012-02-08,2.0,2.0,2.0,2.0,2.0,0.0
2012-02-09,2.0,2.0,2.0,2.0,2.0,0.0
2012-02-12,1.0,2.0,1.0,2.0,2.0,1800.0
2012-02-13,1.0,1.0,1.0,1.0,1.0,3532.0
2012-02-14,1.0,1.0,1.0,1.0,1.0,0.0
2012-02-15,2.0,2.0,2.0,2.0,2.0,1250.0
2012-02-16,1.0,2.0,1.0,2.0,2.0,4700.0
2012-02-19,2.0,2.0,2.0,2.0,2.0,0.0
2012-02-20,2.0,2.0,2.0,2.0,2.0,0.0
2012-02-21,2.0,2.0,2.0,2.0,2.0,30.0
2012-02-22,2.0,2.0,2.0,2.0,2.0,0.0
2012-02-23,2.0,2.0,2.0,2.0,2.0,0.0
2012-02-26,2.0,2.0,2.0,2.0,2.0,0.0
2012-02-27,2.0,2.0,2.0,2.0,2.0,0.0
2012-02-28,2.0,2.0,2.0,2.0,2.0,490.0
2012-02-29,2.0,2.0,2.0,2.0,2.0,0.0
2012-03-01,2.0,2.0,2.0,2.0,2.0,0.0
2012-03-04,1.0,2.0,1.0,2.0,2.0,920.0
2012-03-05,2.0,2.0,2.0,2.0,2.0,0.0
2012-03-06,2.0,2.0,2.0,2.0,2.0,0.0
2012-03-07,1.0,2.0,1.0,2.0,2.0,340.0
2012-03-08,2.0,2.0,2.0,2.0,2.0,0.0
2012-03-11,1.0,2.0,1.0,2.0,2.0,18440.0
2012-03-12,1.0,2.0,1.0,1.0,1.0,460.0
2012-03-13,2.0,2.0,2.0,2.0,2.0,550.0
2012-03-14,2.0,2.0,2.0,2.0,2.0,0.0
2012-03-15,2.0,2.0,2.0,2.0,2.0,0.0
2012-03-18,1.0,2.0,1.0,2.0,2.0,4020.0
2012-03-19,1.0,2.0,1.0,2.0,2.0,2730.0
2012-03-20,2.0,2.0,1.0,2.0,2.0,5306.0
2012-03-21,1.0,2.0,1.0,2.0,2.0,1343.0
2012-03-22,2.0,2.0,2.0,2.0,2.0,0.0
2012-03-25,2.0,2.0,2.0,2.0,2.0,0.0
2012-03-26,2.0,2.0,1.0,1.0,1.0,2308.0
2012-03-27,2.0,2.0,1.0,1.0,1.0,2308.0
2012-03-28,1.0,1.0,1.0,1.0,1.0,100.0
2012-03-29,1.0,1.0,1.0,1.0,1.0,100.0
2012-04-02,1.0,1.0,1.0,1.0,1.0,0.0
2012-04-03,1.0,1.0,1.0,1.0,1.0,7500.0
2012-04-04,1.0,2.0,1.0,1.0,1.0,750.0
2012-04-05,2.0,2.0,2.0,2.0,2.0,550.0
2012-04-10,2.0,2.0,2.0,2.0,2.0,0.0
2012-04-11,2.0,2.0,2.0,2.0,2.0,0.0
